turn_id,pause_index,p_eot
en__000,0,0.3793
en__000,1,0.4646
en__000,2,0.4262
en__000,3,0.5190
en__001,0,0.5578
en__001,1,0.5982
en__002,0,0.4321
en__002,1,0.4539
en__002,2,0.4576
en__002,3,0.5131
en__002,4,0.5341
en__002,5,0.5158
en__002,6,0.5420
en__003,0,0.5434
en__004,0,0.3412
en__004,1,0.4265
en__005,0,0.3399
en__005,1,0.5515
en__006,0,0.4220
en__006,1,0.4728
en__006,2,0.5124
en__007,0,0.4702
en__007,1,0.4057
en__007,2,0.4463
en__007,3,0.4889
en__007,4,0.4196
en__007,5,0.3781
en__007,6,0.3782
en__008,0,0.5617
en__008,1,0.5197
en__008,2,0.5408
en__008,3,0.5512
en__009,0,0.4729
en__010,0,0.3656
en__010,1,0.4933
en__011,0,0.5060
en__012,0,0.4772
en__012,1,0.5393
en__012,2,0.5042
en__013,0,0.3763
en__014,0,0.4839
en__014,1,0.5628
en__015,0,0.5177
en__015,1,0.4254
en__016,0,0.4387
en__016,1,0.4614
en__016,2,0.5619
en__017,0,0.5300
en__017,1,0.4847
en__018,0,0.5667
en__018,1,0.4797
en__018,2,0.5015
en__018,3,0.5609
en__018,4,0.4142
en__018,5,0.3543
en__019,0,0.5137
en__020,0,0.4998
en__020,1,0.4385
en__020,2,0.5930
en__021,0,0.5770
en__022,0,0.3898
en__022,1,0.5617
en__023,0,0.4250
en__023,1,0.3595
en__023,2,0.4600
en__024,0,0.4506
en__024,1,0.4863
en__024,2,0.4914
en__025,0,0.5782
en__026,0,0.4366
en__027,0,0.5970
en__027,1,0.5549
en__028,0,0.4466
en__028,1,0.4806
en__029,0,0.5101
en__029,1,0.4231
en__029,2,0.3220
en__030,0,0.5701
en__030,1,0.4888
en__030,2,0.4064
en__030,3,0.4148
en__030,4,0.5916
en__031,0,0.5776
en__032,0,0.5684
en__032,1,0.4884
en__033,0,0.5137
en__034,0,0.6007
en__034,1,0.5556
en__035,0,0.5345
en__035,1,0.5274
en__035,2,0.6101
en__036,0,0.4543
en__036,1,0.4195
en__036,2,0.4140
en__037,0,0.4440
en__037,1,0.5941
en__037,2,0.5059
en__037,3,0.5318
en__038,0,0.4207
en__038,1,0.4500
en__038,2,0.5003
en__038,3,0.4746
en__039,0,0.5410
en__039,1,0.4516
en__039,2,0.5108
en__040,0,0.4528
en__041,0,0.5886
en__042,0,0.3315
en__042,1,0.4391
en__042,2,0.5012
en__042,3,0.4564
en__042,4,0.5585
en__043,0,0.5676
en__044,0,0.4710
en__044,1,0.5677
en__044,2,0.4533
en__045,0,0.5064
en__045,1,0.4874
en__046,0,0.4640
en__046,1,0.4251
en__046,2,0.5110
en__047,0,0.5117
en__048,0,0.5278
en__048,1,0.5644
en__049,0,0.4872
en__049,1,0.4774
en__049,2,0.4161
en__049,3,0.5431
en__049,4,0.4716
en__050,0,0.4972
en__051,0,0.6320
en__051,1,0.6085
en__051,2,0.3663
en__052,0,0.5632
en__052,1,0.5116
en__052,2,0.3959
en__053,0,0.5453
en__053,1,0.5580
en__054,0,0.5830
en__054,1,0.5851
en__055,0,0.5191
en__056,0,0.5552
en__057,0,0.4276
en__058,0,0.5296
en__059,0,0.4613
en__059,1,0.5563
en__059,2,0.6288
en__060,0,0.5980
en__060,1,0.5816
en__061,0,0.6155
en__061,1,0.6044
en__061,2,0.5043
en__062,0,0.6119
en__063,0,0.5885
en__063,1,0.5963
en__064,0,0.6346
en__064,1,0.6470
en__065,0,0.5215
en__065,1,0.3904
en__065,2,0.4615
en__066,0,0.5950
en__066,1,0.3781
en__067,0,0.5742
en__067,1,0.5162
en__067,2,0.5249
en__068,0,0.4313
en__068,1,0.4929
en__068,2,0.4877
en__069,0,0.5936
en__069,1,0.5725
en__070,0,0.3101
en__070,1,0.4642
en__070,2,0.4933
en__070,3,0.4751
en__070,4,0.3358
en__070,5,0.4810
en__070,6,0.4909
en__071,0,0.4315
en__072,0,0.5886
en__073,0,0.4534
en__073,1,0.4751
en__074,0,0.5591
en__075,0,0.3575
en__076,0,0.5788
en__077,0,0.4581
en__077,1,0.4491
en__077,2,0.3923
en__078,0,0.4784
en__079,0,0.5439
en__079,1,0.3858
en__080,0,0.4078
en__080,1,0.3854
en__080,2,0.4829
en__080,3,0.5107
en__080,4,0.4945
en__080,5,0.5655
en__081,0,0.5351
en__081,1,0.4209
en__081,2,0.3496
en__081,3,0.4716
en__081,4,0.5501
en__082,0,0.6320
en__082,1,0.5711
en__083,0,0.4804
en__083,1,0.4248
en__083,2,0.4455
en__084,0,0.6061
en__085,0,0.5186
en__086,0,0.4614
en__086,1,0.3663
en__086,2,0.5115
en__087,0,0.4783
en__088,0,0.5158
en__088,1,0.6185
en__089,0,0.3019
en__089,1,0.4457
en__090,0,0.5342
en__090,1,0.5930
en__090,2,0.6376
en__090,3,0.5781
en__091,0,0.4607
en__091,1,0.5056
en__091,2,0.5730
en__091,3,0.5183
en__091,4,0.5926
en__091,5,0.5931
en__091,6,0.5589
en__091,7,0.5932
en__092,0,0.5493
en__092,1,0.5503
en__093,0,0.4858
en__093,1,0.5000
en__093,2,0.5023
en__093,3,0.4814
en__093,4,0.3655
en__094,0,0.6215
en__094,1,0.5754
en__095,0,0.4224
en__095,1,0.3340
en__095,2,0.5670
en__095,3,0.3869
en__095,4,0.4528
en__095,5,0.4323
en__096,0,0.5831
en__097,0,0.5673
en__097,1,0.5204
en__098,0,0.5517
en__099,0,0.5389
